name,ingredients
Classic Margherita Pizza,"pizza dough,tomatoes,mozzarella cheese,basil,olive oil,salt,pepper"
Chicken Parmesan,"chicken breast,bread crumbs,parmesan cheese,eggs,tomato sauce,mozzarella cheese,olive oil"
Beef Stir-Fry,"beef strips,broccoli,carrots,bell peppers,soy sauce,ginger,garlic,sesame oil"
Spaghetti Bolognese,"spaghetti,ground beef,tomatoes,onions,carrots,celery,garlic,red wine,olive oil,basil"
Salmon with Roasted Vegetables,"salmon fillets,asparagus,broccoli,carrots,olive oil,lemon juice,garlic,salt,pepper"
Chicken Caesar Salad,"chicken breast,romaine lettuce,croutons,parmesan cheese,caesar dressing,olive oil,lemon juice"
Black Bean Burgers,"black beans,bread crumbs,onions,bell peppers,garlic,cumin,chili powder,olive oil,avocado"
Shrimp Scampi,"shrimp,linguine,garlic,butter,white wine,lemon juice,parsley,red pepper flakes"
Vegetarian Chili,"kidney beans,black beans,corn,tomatoes,onions,bell peppers,chili powder,cumin,vegetable broth"
Tuna Salad Sandwich,"tuna,mayonnaise,celery,onions,lemon juice,bread,lettuce,salt,pepper"
Grilled Cheese Sandwich,"bread,cheese,butter"
Peanut Butter and Jelly Sandwich,"bread,peanut butter,jelly"
Avocado Toast,"bread,avocado,red pepper flakes,salt,pepper"
Omelette,"eggs,cheese,onions,bell peppers,mushrooms,salt,pepper"
Quesadilla,"tortillas,cheese,chicken,onions,bell peppers,salsa"
Chicken Noodle Soup,"chicken broth,chicken,noodles,carrots,celery,onions,salt,pepper"
Tomato Soup,"canned tomatoes,vegetable broth,onions,garlic,basil,cream,olive oil,salt,pepper"
Mushroom Risotto,"arborio rice,mushrooms,vegetable broth,onions,garlic,white wine,parmesan cheese,butter,olive oil"
French Toast,"bread,eggs,milk,vanilla extract,cinnamon,butter,maple syrup"
Pancakes,"flour,baking powder,sugar,salt,eggs,milk,butter,maple syrup"
Waffles,"flour,baking powder,sugar,salt,eggs,milk,butter,maple syrup"
Chocolate Chip Cookies,"flour,butter,sugar,brown sugar,eggs,vanilla extract,chocolate chips,baking soda,salt"
Brownies,"flour,butter,sugar,cocoa powder,eggs,vanilla extract,chocolate chips,baking powder,salt"
Banana Bread,"flour,bananas,sugar,butter,eggs,baking soda,vanilla extract,walnuts,cinnamon"
Apple Pie,"flour,apples,sugar,butter,cinnamon,nutmeg,lemon juice"
Blueberry Muffins,"flour,blueberries,sugar,butter,eggs,baking powder,vanilla extract,cinnamon"
Lemon Bars,"flour,butter,sugar,eggs,lemon juice,lemon zest"
Cheesecake,"graham crackers,butter,cream cheese,sugar,eggs,vanilla extract,sour cream"
Tiramisu,"ladyfingers,coffee,mascarpone cheese,eggs,sugar,cocoa powder"
Key Lime Pie,"graham crackers,butter,sweetened condensed milk,key lime juice,eggs"
Chocolate Cake,"flour,sugar,cocoa powder,baking soda,baking powder,salt,eggs,oil,buttermilk,vanilla extract,coffee"
Vanilla Cake,"flour,sugar,baking powder,salt,eggs,oil,milk,vanilla extract"
Carrot Cake,"flour,carrots,sugar,oil,eggs,baking soda,cinnamon,nutmeg,vanilla extract,cream cheese,butter,powdered sugar"
Red Velvet Cake,"flour,sugar,cocoa powder,baking soda,salt,buttermilk,vinegar,oil,eggs,red food coloring,cream cheese,butter,powdered sugar"
Lemon Poppy Seed Cake,"flour,sugar,baking powder,salt,eggs,oil,milk,lemon juice,lemon zest,poppy seeds"
Coconut Cake,"flour,sugar,baking powder,salt,eggs,oil,milk,coconut extract,shredded coconut,cream cheese,butter,powdered sugar"
Pineapple Upside-Down Cake,"flour,sugar,baking powder,salt,eggs,oil,pineapple slices,maraschino cherries,butter,brown sugar"
Angel Food Cake,"flour,sugar,egg whites,cream of tartar,vanilla extract,almond extract"
Pound Cake,"flour,sugar,butter,eggs,baking powder,vanilla extract"
Spice Cake,"flour,sugar,baking powder,salt,cinnamon,nutmeg,cloves,eggs,oil,applesauce"
Hummus,"chickpeas,tahini,lemon juice,garlic,olive oil,cumin,paprika"
Guacamole,"avocado,tomatoes,onions,cilantro,lime juice,jalapeno,salt"
Salsa,"tomatoes,onions,cilantro,jalapeno,lime juice,garlic,salt"
Spinach Dip,"spinach,sour cream,mayonnaise,water chestnuts,green onions,dill"
Buffalo Chicken Dip,"chicken,cream cheese,ranch dressing,buffalo wing sauce,cheddar cheese"
7 Layer Dip,"refried beans,sour cream,guacamole,salsa,cheese,black olives,green onions"
Bruschetta,"bread,tomatoes,basil,garlic,olive oil,balsamic vinegar"
Caprese Skewers,"cherry tomatoes,mozzarella balls,basil leaves,balsamic glaze"
Fruit Salad,"strawberries,blueberries,raspberries,blackberries,grapes,melon"
Pasta Salad,"pasta,tomatoes,cucumbers,bell peppers,olives,feta cheese,italian dressing"
Potato Salad,"potatoes,mayonnaise,celery,onions,mustard,vinegar,eggs"
Coleslaw,"cabbage,carrots,mayonnaise,vinegar,sugar,mustard"
Corn on the Cob,"corn on the cob,butter,salt,pepper"
Grilled Vegetables,"zucchini,bell peppers,onions,eggplant,olive oil,balsamic vinegar,garlic"
Watermelon Salad,"watermelon,feta cheese,mint,red onion,balsamic glaze"
Caprese Salad,"tomatoes,mozzarella cheese,basil,balsamic glaze,olive oil,salt,pepper"